District,Date,SoilMoisture
Ariyalur,2018,20.88
Ariyalur,2019,17.38
Ariyalur,2020,22.68
Ariyalur,2021,22.72
Ariyalur,2022,22.56
Ariyalur,2023,19.63
Chengalpattu,2018,19.96
Chengalpattu,2019,13.38
Chengalpattu,2020,17.38
Chengalpattu,2021,10.6
Chengalpattu,2022,10.82
Chengalpattu,2023,7.9
Chennai,2018,14.98
Chennai,2019,9.58
Chennai,2020,9.74
Chennai,2021,2.75
Chennai,2022,2.94
Chennai,2023,1.72
Coimbatore,2018,23.82
Coimbatore,2019,20.19
Coimbatore,2020,23.01
Coimbatore,2021,21.35
Coimbatore,2022,20.78
Coimbatore,2023,15.35
Cuddalore,2018,22.21
Cuddalore,2019,17.32
Cuddalore,2020,23.48
Cuddalore,2021,22.46
Cuddalore,2022,22.91
Cuddalore,2023,20.66
Dharmapuri,2018,20.65
Dharmapuri,2019,18.62
Dharmapuri,2020,21.66
Dharmapuri,2021,19.38
Dharmapuri,2022,19.52
Dharmapuri,2023,15.58
Dindigul,2018,24.49
Dindigul,2019,21.55
Dindigul,2020,23.33
Dindigul,2021,21.36
Dindigul,2022,21.38
Dindigul,2023,18.05
Erode,2018,21.26
Erode,2019,18.28
Erode,2020,20.46
Erode,2021,19.51
Erode,2022,19.42
Erode,2023,14.23
Kallakurichi,2018,21.57
Kallakurichi,2019,17.07
Kallakurichi,2020,21.84
Kallakurichi,2021,18.95
Kallakurichi,2022,18.97
Kallakurichi,2023,15.25
Kanchipuram,2018,17.07
Kanchipuram,2019,12.01
Kanchipuram,2020,16.85
Kanchipuram,2021,14.61
Kanchipuram,2022,15.14
Kanchipuram,2023,10.7
Kanniyakumari,2018,24.97
Kanniyakumari,2019,22.76
Kanniyakumari,2020,21.31
Kanniyakumari,2021,20.81
Kanniyakumari,2022,20.86
Kanniyakumari,2023,17.39
Karur,2018,18.34
Karur,2019,15.31
Karur,2020,18.68
Karur,2021,16.44
Karur,2022,16.05
Karur,2023,13.51
Krishnagiri,2018,19.72
Krishnagiri,2019,17.84
